Country	Code_WMO,,Long,Lat,Altitude,years,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
211,36870,76.93,43.23,847,1926,-4.9,-3.4,5.5,9.3,16.1,20.7,22.4,23,17.3,9.7,-1.1,-5.1
211,36870,76.93,43.23,847,1927,-8.1,-6.5,-0.8,13,16.3,21.4,25.4,23.4,17.2,12.7,1.4,-3.2
211,36870,76.93,43.23,847,1928,-7.6,-2.8,-0.3,10,17.7,21.5,22.2,21.2,15,9.7,1.7,-9.3
211,36870,76.93,43.23,847,1929,-12,-5.9,3.4,15.1,14.5,20.2,23,21,18.1,6.6,0.6,-12.8
211,36870,76.93,43.23,847,1930,-11.2,-5.9,3.6,8.6,16.9,21.5,24.6,21.6,15.5,8.2,4,-8.1
211,36870,76.93,43.23,847,1931,-9.5,-16.8,1.9,9.8,14.2,20.1,21.9,22.9,20.3,11.4,0,-4.8
211,36870,76.93,43.23,847,1932,-4.7,-3.2,5,13.3,16.3,20.8,25.2,20,16.8,8.4,0.1,-8.8
211,36870,76.93,43.23,847,1933,-10.5,-4.7,-1.4,13,17.8,20.1,24,24.3,16.3,7.9,2.9,-2.7
211,36870,76.93,43.23,847,1934,-11.2,-1,1.9,7.3,13.6,21.1,20.9,21.4,13.5,8.4,-1.8,-3.3
211,36870,76.93,43.23,847,1935,-10.5,-2.2,2.3,9.9,17.1,20.3,23.1,24.1,16,10.4,-4.5,-11.2
211,36870,76.93,43.23,847,1936,-9.7,-6.3,-1.7,8.9,15.3,21.1,22.9,19.3,17.1,14.1,2.4,-4.9
211,36870,76.93,43.23,847,1937,-9.1,-6.2,-1.3,8.1,15.5,19.3,23.6,21,18.3,10.2,-4.4,-6.6
211,36870,76.93,43.23,847,1938,-5.9,-3.2,2,14.1,18.9,20.2,23.4,22.1,16.8,9,1.8,-8.4
211,36870,76.93,43.23,847,1939,-6.8,-3.4,0.4,8.7,17.1,22.8,24.7,23.2,18.3,8.8,1.6,0.4
211,36870,76.93,43.23,847,1940,-6,-3.2,3.9,12.9,15,22.9,24.3,21.9,16.1,11.1,1.9,0.6
211,36870,76.93,43.23,847,1941,-3.8,-2,5.3,12.5,17.8,23.9,22.5,23.3,17.5,12.4,2.5,-1.3
211,36870,76.93,43.23,847,1942,-4,-12.2,3.5,9.5,15.3,21.3,23.9,21,17.2,10.1,2.4,-3.2
211,36870,76.93,43.23,847,1943,-6.2,-6.6,0.3,10.6,18,20.1,25.9,23.7,17.5,9.1,-2.8,-4.3
211,36870,76.93,43.23,847,1944,-5.9,-2,7.3,11.5,17.9,21.8,27,23.3,16.3,7.4,-1.8,-13.4
211,36870,76.93,43.23,847,1945,-7.2,-11,-1.6,12.7,17.3,20.9,23,24.5,17.5,13,-0.6,-3.6
