Country	Code_WMO,,Long,Lat,Altitude,years,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
211,36870,76.93,43.23,847,1944,11,19.3,39,86.9,31,11.4,5.7,4.5,38.1,51,42.7,8.7
211,36870,76.93,43.23,847,1945,33.1,33.3,74.7,55.7,104.4,79.2,14.3,2.1,27.6,42.8,75.4,32.5
211,36870,76.93,43.23,847,1946,11,54.6,43.6,126,126.7,78.6,34.1,62.6,24.3,64.3,73.3,13.1
211,36870,76.93,43.23,847,1947,24.1,11.7,57.5,91.8,197.4,111.2,89.3,10.9,63.4,43.9,61.4,62.7
211,36870,76.93,43.23,847,1948,18.8,34.1,78,138.6,96.8,43.5,23,3.1,34,43.9,18.6,53
211,36870,76.93,43.23,847,1949,22,30.9,106.9,152.3,100.6,91.4,38.5,20.6,35.1,29.1,13.1,2.1
211,36870,76.93,43.23,847,1950,31.9,17.1,91.8,55.7,61,52,34.1,41,20.2,29.1,44.8,14.1
211,36870,76.93,43.23,847,1951,31.9,24.6,21.8,39,161.6,32,25.5,12,48.9,138.2,73.1,47
211,36870,76.93,43.23,847,1952,10.9,36.8,54,142.6,119,81.6,42.8,25,24.3,51,37.6,35
211,36870,76.93,43.23,847,1953,48.8,47.2,103.9,49.9,34.9,102.8,39.7,29.3,14.9,105.1,68.1,28.8
211,36870,76.93,43.23,847,1954,41.2,21,69.1,72.2,64.8,137.3,51.6,58.4,40.3,0,34.6,42.4
211,36870,76.93,43.23,847,1955,4.3,37.7,64.5,80.1,115.2,3,32.2,9.7,10.5,0,42.2,75.3
211,36870,76.93,43.23,847,1956,19.3,47.2,57.3,123.1,100.6,84.7,4.4,15.1,17.9,35.2,19.3,30.9
211,36870,76.93,43.23,847,1957,26.9,16.7,92.1,72.2,45.5,88.9,78.2,10.9,12.8,75.4,62.5,38
211,36870,76.93,43.23,847,1958,48.5,39.9,120.4,156.1,216.8,117.8,59.5,81,8.5,24,48.8,57.1
211,36870,76.93,43.23,847,1959,24.9,48.5,103.9,154.3,70.7,49,38.5,46.5,2.3,49,62.5,41.1
211,36870,76.93,43.23,847,1960,35.8,21.9,42.1,97.6,199.3,38.1,86.2,3.1,17.2,50,36.6,30.9
211,36870,76.93,43.23,847,1961,42.1,36.9,62.5,109.4,70.7,105.3,36.6,34.5,74.3,61.2,40.1,14.9
211,36870,76.93,43.23,847,1962,32.4,8.2,38.2,48.8,107.4,93.1,14.3,6.4,51.9,43.9,77.8,26.5
211,36870,76.93,43.23,847,1963,15.2,40.8,92.1,161.1,142.2,78.6,23,40,8.5,98.9,75.7,39.3
211,36870,76.93,43.23,847,1964,35.8,42,138.1,146.4,85.1,53.8,46.5,34.5,10.5,17.9,57.4,40.4
211,36870,76.93,43.23,847,1965,17.3,42,55.3,75.2,65.8,53.1,28.7,31.5,22.4,71.9,84.3,9.6
211,36870,76.93,43.23,847,1966,38,49.8,141.9,49.7,134.8,42.2,65.7,13,15.9,75,61.9,81.9
211,36870,76.93,43.23,847,1967,34.5,39,29.6,36.1,65.7,113.5,22.2,65.9,18.2,44.8,8.6,6.5
211,36870,76.93,43.23,847,1968,31.4,5.1,81.5,128.8,31,15.7,31.7,29.1,16.9,30.1,84.2,23.4
211,36870,76.93,43.23,847,1969,58.4,16.7,131.4,113.2,185.7,46.5,41.6,55,61.5,150.9,23.9,12.5
211,36870,76.93,43.23,847,1970,33.6,31.4,60.5,106.3,87,29.6,32.9,52.9,7.5,36.2,71.1,23.4
211,36870,76.93,43.23,847,1971,25.9,55.6,35,154.8,106.1,19.1,18.7,8.6,15.9,29.1,9.7,26.5
211,36870,76.93,43.23,847,1972,44.3,10.5,113.4,199.3,116.5,57.2,72.6,41,18,39.5,96.1,25.4
211,36870,76.93,43.23,847,1973,36.7,60.9,44.5,138.9,126.9,103.9,11,29.2,99.6,29.1,44,10.6
211,36870,76.93,43.23,847,1974,32.4,16.8,33.9,185.5,56.2,27.6,5.5,49.7,8.5,8.3,50.8,13.8
211,36870,76.93,43.23,847,1975,16.2,59.8,53,41.3,82.2,30.7,24.2,8.6,45.6,40.6,33.5,55.1
211,36870,76.93,43.23,847,1976,18.4,39.9,29.7,114.5,132.1,44.5,3.3,2.2,58.3,98.8,46.4,47.7
